"id","whichExpt.First","E1anchor","E2anchor","wordKey","EXPERIMENTER"
1,1,1,2,"P","F"
2,1,2,1,"P","F"
3,1,1,1,"P","F"
4,1,2,2,"P","F"
5,2,1,2,"P","F"
6,2,2,1,"P","F"
7,2,1,1,"P","F"
8,2,2,2,"P","F"
9,1,1,2,"Q","F"
10,1,2,1,"Q","F"
11,1,1,1,"Q","F"
12,1,2,2,"Q","F"
13,2,1,2,"Q","F"
14,2,2,1,"Q","F"
15,2,1,1,"Q","F"
16,2,2,2,"Q","F"
17,1,1,2,"P","F"
18,1,2,1,"P","F"
19,1,1,1,"P","F"
20,1,2,2,"P","F"
21,2,1,2,"P","F"
22,2,2,1,"P","F"
23,2,1,1,"P","F"
24,2,2,2,"P","F"
25,1,1,2,"Q","F"
26,1,2,1,"Q","F"
27,1,1,1,"Q","F"
28,1,2,2,"Q","F"
29,2,1,2,"Q","F"
30,2,2,1,"Q","F"
31,2,1,1,"Q","F"
32,2,2,2,"Q","F"
33,1,1,2,"P","F"
34,1,2,1,"P","F"
35,1,1,1,"P","F"
36,1,2,2,"P","F"
37,2,1,2,"P","F"
38,2,2,1,"P","F"
39,2,1,1,"P","F"
40,2,2,2,"P","F"
41,1,1,2,"Q","F"
42,1,2,1,"Q","F"
43,1,1,1,"Q","F"
44,1,2,2,"Q","F"
45,2,1,2,"Q","F"
46,2,2,1,"Q","F"
47,2,1,1,"Q","F"
48,2,2,2,"Q","F"
49,1,1,2,"P","F"
50,1,2,1,"P","F"
51,1,1,1,"P","F"
52,1,2,2,"P","F"
53,2,1,2,"P","F"
54,2,2,1,"P","F"
55,2,1,1,"P","F"
56,2,2,2,"P","F"
57,1,1,2,"Q","F"
58,1,2,1,"Q","F"
59,1,1,1,"Q","F"
60,1,2,2,"Q","F"
61,2,1,2,"Q","F"
62,2,2,1,"Q","F"
63,2,1,1,"Q","F"
64,2,2,2,"Q","F"
65,1,1,2,"P","S"
66,1,2,1,"P","S"
67,1,1,1,"P","S"
68,1,2,2,"P","S"
69,2,1,2,"P","S"
70,2,2,1,"P","S"
71,2,1,1,"P","S"
72,2,2,2,"P","S"
73,1,1,2,"Q","S"
74,1,2,1,"Q","S"
75,1,1,1,"Q","S"
76,1,2,2,"Q","S"
77,2,1,2,"Q","S"
78,2,2,1,"Q","S"
79,2,1,1,"Q","S"
80,2,2,2,"Q","S"
81,1,1,2,"P","S"
82,1,2,1,"P","S"
83,1,1,1,"P","S"
84,1,2,2,"P","S"
85,2,1,2,"P","S"
86,2,2,1,"P","S"
87,2,1,1,"P","S"
88,2,2,2,"P","S"
89,1,1,2,"Q","S"
90,1,2,1,"Q","S"
91,1,1,1,"Q","S"
92,1,2,2,"Q","S"
93,2,1,2,"Q","S"
94,2,2,1,"Q","S"
95,2,1,1,"Q","S"
96,2,2,2,"Q","S"
97,1,1,2,"P","S"
98,1,2,1,"P","S"
99,1,1,1,"P","S"
100,1,2,2,"P","S"
101,2,1,2,"P","S"
102,2,2,1,"P","S"
103,2,1,1,"P","S"
104,2,2,2,"P","S"
105,1,1,2,"Q","S"
106,1,2,1,"Q","S"
107,1,1,1,"Q","S"
108,1,2,2,"Q","S"
109,2,1,2,"Q","S"
110,2,2,1,"Q","S"
111,2,1,1,"Q","S"
112,2,2,2,"Q","S"
113,1,1,2,"P","S"
114,1,2,1,"P","S"
115,1,1,1,"P","S"
116,1,2,2,"P","S"
117,2,1,2,"P","S"
118,2,2,1,"P","S"
119,2,1,1,"P","S"
120,2,2,2,"P","S"
121,1,1,2,"Q","S"
122,1,2,1,"Q","S"
123,1,1,1,"Q","S"
124,1,2,2,"Q","S"
125,2,1,2,"Q","S"
126,2,2,1,"Q","S"
127,2,1,1,"Q","S"
128,2,2,2,"Q","S"
